기준연월,시·도코드,시·도명,시·군·구 코드,시·군·구 명,체류강도_지표코드,체류특성,체류특성_강도지수,,"※ ‘체류특성_강도지수’는 
실제 방문자 수 또는 비율(%)을 의미하는 값이 아니라, 
타권역 방문자 비중·숙박 비중·숙박일수별 방문자 수 
등을 기반으로 산출된 관광 체류 강도 세부 지표값입니다. 
따라서 수치가 높을수록 해당 체류 특성이 
강하게 나타나는 것으로 해석합니다.",,,,,
202504,26,부산광역시,26440,강서구,2101,타권역 방문자 비중,90.96,,,,,,,
202504,26,부산광역시,26440,강서구,2102,숙박 비중,54.07,,,,,,,
202504,26,부산광역시,26440,강서구,2103,1박 방문자수,63.34,,,,,,,
202504,26,부산광역시,26440,강서구,2104,2박 방문자수,64.25,,,,,,,
202504,26,부산광역시,26440,강서구,2105,3박 방문자수,70.66,,,,,,,
202504,26,부산광역시,26470,연제구,2101,타권역 방문자 비중,86.48,,,,,,,
202504,26,부산광역시,26470,연제구,2102,숙박 비중,58.39,,,,,,,
202504,26,부산광역시,26470,연제구,2103,1박 방문자수,63.54,,,,,,,
202504,26,부산광역시,26470,연제구,2104,2박 방문자수,66.26,,,,,,,
202504,26,부산광역시,26470,연제구,2105,3박 방문자수,74.43,,,,,,,
202504,26,부산광역시,26500,수영구,2101,타권역 방문자 비중,82.82,,,,,,,
202504,26,부산광역시,26500,수영구,2102,숙박 비중,63.65,,,,,,,
202504,26,부산광역시,26500,수영구,2103,1박 방문자수,74.69,,,,,,,
202504,26,부산광역시,26500,수영구,2104,2박 방문자수,75.2,,,,,,,
202504,26,부산광역시,26500,수영구,2105,3박 방문자수,74.66,,,,,,,
202504,26,부산광역시,26530,사상구,2101,타권역 방문자 비중,75.31,,,,,,,
202504,26,부산광역시,26530,사상구,2102,숙박 비중,58.65,,,,,,,
202504,26,부산광역시,26530,사상구,2103,1박 방문자수,63.5,,,,,,,
202504,26,부산광역시,26530,사상구,2104,2박 방문자수,64.88,,,,,,,
202504,26,부산광역시,26530,사상구,2105,3박 방문자수,71.45,,,,,,,
202504,26,부산광역시,26710,기장군,2101,타권역 방문자 비중,83.57,,,,,,,
