연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202501,북구,13987,2180150,4571644,6765781
202501,사상구,31283,2386170,2640442,5057895
202501,사하구,73192,2133596,4266171,6472959
202501,서구,91123,1717916,1531736,3340775
202501,수영구,60562,3373601,2848506,6282669
202501,연제구,21982,2738799,2166308,4927089
202501,영도구,124961,1584202,1813203,3522366
202501,중구,129209,3351257,1159666,4640132
202501,해운대구,176341,5993704,7193613,13363658
202502,강서구,269013,3255700,2463926,5988639
202502,금정구,18609,2175638,3177570,5371817
202502,기장군,74900,2933371,2767163,5775434
202502,남구,85800,2321812,3715768,6123380
202502,동구,89606,3023310,1346328,4459244
202502,동래구,11564,3080623,3888164,6980351
202502,부산진구,121527,5613251,5681662,11416440
202502,북구,12185,1788871,4206206,6007262
202502,사상구,31590,2121343,2460969,4613902
202502,사하구,68047,1789890,3973886,5831823
202502,서구,84941,1504898,1444142,3033981
202502,수영구,51984,2884980,2659825,5596789
202502,연제구,18862,2389555,1970322,4378739
202502,영도구,105778,1311930,1700608,3118316
202502,중구,116272,2985311,1119314,4220897
202502,해운대구,155604,5217009,6697726,12070339
202503,강서구,354596,3592029,2587893,6534518
202503,금정구,34645,2967391,3453454,6455490
202503,기장군,127372,3392484,3024525,6544381
202503,남구,164044,3033184,4056696,7253924
202503,동구,171731,3089975,1439634,4701340
202503,동래구,18276,3642174,4254660,7915110
202503,부산진구,221631,6375526,6194888,12792045
202503,북구,14820,2141139,4632618,6788577
202503,사상구,62249,2612914,2627258,5302421
202503,사하구,115575,2246699,4337025,6699299
202503,서구,144467,1811635,1576729,3532831
202503,수영구,102737,3148170,2847974,6098881
202503,연제구,27637,2764080,2130919,4922636
202503,영도구,171374,1579728,1831193,3582295
202503,중구,212225,3258675,1143502,4614402
202503,해운대구,287671,5662184,7282432,13232287
202504,강서구,425297,3538857,2696183,6660337
202504,금정구,41904,2352210,3439170,5833284
202504,기장군,172250,3149531,2964644,6286425
202504,남구,192704,2408168,4010884,6611756
202504,동구,237008,2931894,1454218,4623120
202504,동래구,20867,3266515,4186203,7473585
202504,부산진구,249669,5541886,6128602,11920157
202504,북구,17035,1923649,4511710,6452394
202504,사상구,74406,2298160,2735680,5108246
202504,사하구,153897,1862130,4361976,6378003
202504,서구,188944,1634213,1558571,3381728
202504,수영구,147959,2907454,2795240,5850653
202504,연제구,30911,2512268,2176888,4720067
202504,영도구,213176,1349204,1805237,3367617
202504,중구,271826,3064705,1150149,4486680
202504,해운대구,401046,5141202,7190550,12732798
202505,강서구,453018,3815567,2733034,7001619
202505,금정구,39724,2783784,3840648,6664156
202505,기장군,157336,3903616,3103639,7164591
202505,남구,167756,2794306,4387152,7349214
202505,동구,215286,3432566,1521240,5169092
202505,동래구,21400,3871718,4466934,8360052
202505,부산진구,253841,6572948,6586811,13413600
202505,북구,16827,2357383,4766062,7140272
202505,사상구,66503,2543863,2843936,5454302
202505,사하구,152571,2286638,4640048,7079257
202505,서구,185524,1869452,1645886,3700862
202505,수영구,145225,3655295,2934470,6734990
202505,연제구,33108,2837303,2320241,5190652
202505,영도구,199071,1725724,1940334,3865129
202505,중구,256432,3629028,1196874,5082334
202505,해운대구,395151,6387266,7442946,14225363
202506,강서구,444880,3590814,2759922,6795616
202506,금정구,31206,2426602,3733720,6191528
202506,기장군,157611,3414898,3057288,6629797
202506,남구,149994,2603139,4293328,7046461
202506,동구,191499,3235068,1495162,4921729
202506,동래구,21515,3533736,4386144,7941395
202506,부산진구,229729,6122697,6467223,12819649
202506,북구,18516,2071822,4607330,6697668
202506,사상구,52057,2321330,2795950,5169337
202506,사하구,136707,2014456,4602388,6753551
202506,서구,166925,1750707,1639424,3557056
202506,수영구,137953,3305260,2900499,6343712
202506,연제구,32407,2624752,2262264,4919423
202506,영도구,170078,1549688,1903444,3623210
202506,중구,231522,3320429,1188268,4740219
202506,해운대구,404755,5867960,7389652,13662367
202507,강서구,663875,3742770,2861022,7267667
202507,금정구,37978,2504750,3774242,6316970
202507,기장군,183518,3473278,3176540,6833336
202507,남구,176245,2694727,4330879,7201851
202507,동구,224664,3650034,1562358,5437056
202507,동래구,28159,3752262,4577464,8357885
202507,부산진구,280124,6542669,6748770,13571563
202507,북구,25014,2133624,4761855,6920493
202507,사상구,68084,2435342,2875274,5378700
202507,사하구,153479,2160378,4744806,7058663
202507,서구,199505,1852288,1684970,3736763
202507,수영구,158336,3736814,3055300,6950450
202507,연제구,44139,2826268,2310119,5180526
202507,영도구,232213,1543738,1921318,3697269
202507,중구,269965,3446044,1245776,4961785
202507,해운대구,473911,6604462,7756906,14835279
202508,강서구,514492,3807086,2815852,7137430
202508,금정구,38449,2472978,3575747,6087174
202508,기장군,169957,3835965,3159216,7165138
202508,남구,165652,2706316,4258485,7130453
202508,동구,216544,3672070,1487178,5375792
202508,동래구,22790,3693652,4529556,8245998
202508,부산진구,251597,6627425,6612893,13491915
202508,북구,21752,2133747,4705757,6861256
202508,사상구,58641,2418444,2809947,5287032
202508,사하구,133753,2197122,4633342,6964217
202508,서구,197006,1849424,1634108,3680538
202508,수영구,146613,4032794,3041682,7221089
202508,연제구,37531,2802219,2294212,5133962
202508,영도구,209598,1629296,1861696,3700590
202508,중구,244930,3451035,1184200,4880165
202508,해운대구,417808,6999748,7662816,15080372
202509,강서구,501900,3793822,3053631,7349353
202509,금정구,42059,2795674,3669306,6507039
202509,기장군,141874,3307924,3251094,6700892
202509,남구,168152,2945134,4318990,7432276
202509,동구,189925,3157200,1540224,4887349
202509,동래구,18590,3429528,4529620,7977738
202509,부산진구,241120,6457157,6693442,13391719
202509,북구,15452,2061836,4703548,6780836
202509,사상구,59200,2734246,2877476,5670922
202509,사하구,80861,2181532,4715949,6978342
202509,서구,182029,1894921,1681782,3758732
202509,수영구,149852,3434862,3118328,6703042
202509,연제구,30314,2675340,2349694,5055348
202509,영도구,181239,1600109,1906188,3687536
202509,중구,230629,3420935,1256944,4908508
202509,해운대구,405187,5872790,7679112,13957089
202510,강서구,608515,4113410,2878466,7600391
202510,금정구,55821,2792758,3660580,6509159
202510,기장군,178774,4171538,3214785,7565097
202510,남구,193226,2854103,4331201,7378530
202510,동구,243823,3311262,1502364,5057449
202510,동래구,24585,3766606,4565624,8356815
202510,부산진구,282009,6751608,6701922,13735539
202510,북구,18534,2424502,4836825,7279861
202510,사상구,70154,2661830,2859434,5591418
202510,사하구,102584,2429662,4744047,7276293
202510,서구,211648,1960196,1689216,3861060
202510,수영구,167996,3847588,3133196,7148780
202510,연제구,35538,2927116,2321256,5283910
202510,영도구,206740,1819601,1904928,3931269
202510,중구,291327,3709783,1208459,5209569
202510,해운대구,456322,6571520,7659792,14687634
202511,강서구,553102,3925474,3040198,7518774
202511,금정구,51049,2673556,3870713,6595318
202511,기장군,165429,3544958,3223101,6933488
202511,남구,201230,2780404,4449694,7431328
202511,동구,235387,3318290,1527046,5080723
202511,동래구,24290,3479161,4550301,8053752
202511,부산진구,291865,6482172,6776368,13550405
202511,북구,17695,2119299,4698435,6835429
202511,사상구,61940,2545746,2908766,5516452
202511,사하구,95808,2114668,4777017,6987493
202511,서구,202008,1812962,1714937,3729907
202511,수영구,153615,3555604,3084238,6793457
202511,연제구,36026,2766988,2350604,5153618
202511,영도구,210290,1570219,1955838,3736347
202511,중구,289512,3485584,1256714,5031810
202511,해운대구,412736,6100136,7624354,14137226
202512,강서구,478758,3811388,2997407,7287553
202512,금정구,32171,2523045,3814223,6369439
202512,기장군,130825,3411100,3261002,6802927
