행정구,기준연월,업종대분류,현지인 소비액(만원),외지인 소비액(만원),외국인 소비액(만원)
기장군,202303,여가서비스업,22834,386148,5207
기장군,202303,여행업,45,57,11
기장군,202303,운송업,0,711649,1143
기장군,202303,의료웰니스업,1904,38887,2287
기장군,202304,쇼핑업,16085,4440000,272921
기장군,202304,숙박업,7647,304592,16993
기장군,202304,식음료업,0,1800000,17039
기장군,202304,여가서비스업,25119,402585,8443
기장군,202304,여행업,192,132,0
기장군,202304,운송업,29,683174,1578
기장군,202304,의료웰니스업,2279,32352,1381
기장군,202305,쇼핑업,13415,4340000,253663
기장군,202305,숙박업,11468,379606,16604
기장군,202305,식음료업,0,1910000,15688
기장군,202305,여가서비스업,25998,417054,7470
기장군,202305,여행업,300,544,0
기장군,202305,운송업,0,709764,1635
기장군,202305,의료웰니스업,2671,35588,1230
기장군,202306,쇼핑업,18345,3720000,295537
기장군,202306,숙박업,8150,345336,28899
기장군,202306,식음료업,0,1710000,18393
기장군,202306,여가서비스업,25293,419676,9518
기장군,202306,여행업,110,378,14
기장군,202306,운송업,0,656180,1672
기장군,202306,의료웰니스업,1511,37396,2595
기장군,202307,쇼핑업,19596,3720000,274364
기장군,202307,숙박업,12389,509451,13903
기장군,202307,식음료업,0,1900000,17129
기장군,202307,여가서비스업,25212,363241,11682
기장군,202307,여행업,375,30,0
기장군,202307,운송업,0,703840,1850
기장군,202307,의료웰니스업,1882,35401,6212
기장군,202308,쇼핑업,14173,3630000,255817
기장군,202308,숙박업,15358,694720,12534
기장군,202308,식음료업,0,2110000,14954
기장군,202308,여가서비스업,24899,391864,10880
기장군,202308,여행업,18,123,0
기장군,202308,운송업,200,811967,1546
