행정구명,사업장명,도로명주소,지번주소,경도,위도
남구,공원칼국수,부산광역시 남구 유엔평화로 110 (대연동),,129.0954367,35.12626571
중구,관수옥과 초량왜관 터,부산광역시 중구 용두산길 37-55,,129.0327484,35.10053966
사하구,관음사(부산),부산광역시 사하구 제석로79번길 33 (당리동),,128.9758364,35.10883768
남구,광명집,부산광역시 남구 신선로 458 (대연동),,129.1009668,35.12567144
중구,광복 지하도상가,부산광역시 중구 중앙대로 지하17 (중앙동6가),,129.0361453,35.09976203
강서구,광복경양식,부산광역시 강서구 명지국제6로220번길 19 (명지동),,128.9241107,35.09536324
중구,광복로 겨울빛 트리축제,부산광역시 중구 광복로 72-1 (광복동2가),,129.0327401,35.09863987
중구,광복로패션거리,부산광역시 중구 광복로 72-1 (광복동2가),,129.0327401,35.09863987
수영구,광안리 SUP Zone,부산광역시 수영구 남천동,,129.1146733,35.14773867
수영구,광안리해변 테마거리,부산광역시 수영구 민락동,,129.1221363,35.15516575
해운대구,광주요,부산광역시 해운대구 센텀남대로 35,,129.1297464,35.16886713
서구,구덕문화공원,부산광역시 서구 꽃마을로163번길 73 (서대신동3가),,129.0058167,35.12643349
서구,구덕민속예술관,부산광역시 서구 대신공원로 34-91 (서대신동3가),,129.0185101,35.12397566
사상구,구덕민속촌,부산광역시 사상구 학감대로39번안길 15-17,,128.9977755,35.1328604
해운대구,구덕포끝집고기,부산광역시 해운대구 송정구덕포길 178,,129.1968878,35.16800459
강서구,구디너프,부산광역시 강서구 가덕해안로1169번길 28 (대항동),,128.833157,35.01274583
해운대구,구로마쯔,부산광역시 해운대구 송정광어골로 41 (송정동),,129.1971986,35.17747298
금정구,구서오시게시장,부산광역시 금정구 구서로 12,,129.0898033,35.24737427
북구,구포 어린이교통공원,부산광역시 북구 낙동북로 687 (구포동),,128.9999846,35.20105835
북구,구포무장애숲길,부산광역시 북구 낙동북로 722 (구포동),,129.0004319,35.19778095
북구,구포시장,부산광역시 북구 구포시장2길 7 (구포동),,129.0037896,35.20875756
수영구,국이네 낙지볶음,부산광역시 수영구 연수로 410,,129.1138311,35.1680336
중구,국제시장,부산광역시 중구 신창로4가 일원,,129.0285793,35.10164224
중구,국제시장 먹자골목,부산광역시 중구 중구로 36,,129.0280793,35.10113117
금정구,국청사(부산),부산광역시 금정구 북문로 42,,129.0549922,35.25388956
