행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
수영구,그레이193호텔,숙박업(생활),영업,202309,,"부산광역시 수영구 광안해변로278번길 42, 오션브릿지 B동 4층 (민락동)",부산광역시 수영구 민락동 181-154 오션브릿지,129.12452,35.15396447
해운대구,센텀비즈니스호텔,일반호텔,영업,202309,,"부산광역시 해운대구 센텀1로 17, 센텀프리미어호텔 (우동)",부산광역시 해운대구 우동 1521 센텀프리미어호텔,129.1315947,35.16693706
수영구,까사밀락(Casa millac),숙박업(생활),영업,202309,,"부산광역시 수영구 민락본동로11번길 5, 3~4층 (민락동)",부산광역시 수영구 민락동 130-2,129.1282589,35.1578672
서구,이터널블루(Eternal Blue),숙박업(생활),영업,202309,,"부산광역시 서구 송도해변로 27, 4층 (암남동)",부산광역시 서구 암남동 615-4,129.0171649,35.07160928
해운대구,보나투게더,숙박업(생활),영업,202309,,"부산광역시 해운대구 구남로21번길 6, 1911호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
해운대구,더블유레지던스호텔해운대,숙박업(생활),영업,202309,,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 (우동)",부산광역시 해운대구 우동 539-10 해운대 라뮤에뜨,129.1584916,35.1629774
기장군,뉴시즈 오시리아 레지던스,숙박업(생활),영업,202309,,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 86개호",부산광역시 기장군 기장읍 시랑리 736 오시리아 스위첸 마티에,129.2142575,35.18902891
부산진구,젬스테이,숙박업(생활),영업,202309,,"부산광역시 부산진구 중앙대로 752, 서면역 트루엘 센트럴 2~20층 일부호 (부전동)",부산광역시 부산진구 부전동 129-1 서면역 트루엘 센트럴,129.0609097,35.15931608
동구,오소소(OSOSO) 부산역,일반호텔,영업,202309,,"부산광역시 동구 부산진성공원로 9-1, 금환타워 6~9층 (범일동)",부산광역시 동구 범일동 606,129.0606597,35.13748451
중구,래디언트 남포,숙박업(생활),영업,202309,,부산광역시 중구 중구로5번길 14 (남포동6가),부산광역시 중구 남포동6가 99,129.0265334,35.09826326
해운대구,스텔라,관광호텔,영업,202309,,"부산광역시 해운대구 송정광어골로 64, 스텔라빌딩 3,4층 (송정동)",부산광역시 해운대구 송정동 441-9 스텔라빌딩,129.1958971,35.17583833
해운대구,더쿨리스트호텔,관광호텔,영업,202309,,부산광역시 해운대구 송정광어골로 11 (송정동),부산광역시 해운대구 송정동 312-1,129.1987455,35.17988377
기장군,아크로오시리아,숙박업(생활),폐업,202309,202309,"부산광역시 기장군 기장읍 동부산관광7로 17, 오시리아 스위첸 마티에 101~104동 2~26층 30개호",부산광역시 기장군 기장읍 시랑리 736 오시리아 스위첸 마티에,129.2142575,35.18902891
