기준연월,지역,외국인 방문자 수,구분
202307,남구,87686,외국인 방문자
202307,북구,17919,외국인 방문자
202307,해운대구,186103,외국인 방문자
202307,사하구,83235,외국인 방문자
202307,금정구,23972,외국인 방문자
202307,강서구,242755,외국인 방문자
202307,연제구,26877,외국인 방문자
202307,수영구,51106,외국인 방문자
202307,사상구,26602,외국인 방문자
202307,기장군,100863,외국인 방문자
202306,중구,149970,외국인 방문자
202306,서구,99061,외국인 방문자
202306,동구,115954,외국인 방문자
202306,영도구,112657,외국인 방문자
202306,부산진구,136524,외국인 방문자
202306,동래구,15641,외국인 방문자
202306,남구,89154,외국인 방문자
202306,북구,14267,외국인 방문자
202306,해운대구,197304,외국인 방문자
202306,사하구,92553,외국인 방문자
202306,금정구,23244,외국인 방문자
202306,강서구,242018,외국인 방문자
202306,연제구,22469,외국인 방문자
202306,수영구,56902,외국인 방문자
202306,사상구,26599,외국인 방문자
202306,기장군,100942,외국인 방문자
202305,중구,160783,외국인 방문자
202305,서구,95125,외국인 방문자
202305,동구,125782,외국인 방문자
202305,영도구,128120,외국인 방문자
202305,부산진구,140007,외국인 방문자
202305,동래구,17069,외국인 방문자
202305,남구,103561,외국인 방문자
202305,북구,13417,외국인 방문자
202305,해운대구,181921,외국인 방문자
202305,사하구,96103,외국인 방문자
202305,금정구,29645,외국인 방문자
202305,강서구,241891,외국인 방문자
202305,연제구,23595,외국인 방문자
202305,수영구,59591,외국인 방문자
202305,사상구,34492,외국인 방문자
202305,기장군,104323,외국인 방문자
202304,중구,177129,외국인 방문자
202304,서구,99493,외국인 방문자
202304,동구,145739,외국인 방문자
202304,영도구,127912,외국인 방문자
202304,부산진구,143108,외국인 방문자
202304,동래구,14731,외국인 방문자
202304,남구,123558,외국인 방문자
202304,북구,14542,외국인 방문자
202304,해운대구,199285,외국인 방문자
202304,사하구,101149,외국인 방문자
202304,금정구,32318,외국인 방문자
202304,강서구,243693,외국인 방문자
202304,연제구,22416,외국인 방문자
202304,수영구,66032,외국인 방문자
202304,사상구,37593,외국인 방문자
202304,기장군,108049,외국인 방문자
202303,중구,77821,외국인 방문자
202303,서구,43374,외국인 방문자
202303,동구,59195,외국인 방문자
202303,영도구,63213,외국인 방문자
202303,부산진구,67312,외국인 방문자
202303,동래구,7757,외국인 방문자
202303,남구,60409,외국인 방문자
202303,북구,6647,외국인 방문자
202303,해운대구,83672,외국인 방문자
202303,사하구,42942,외국인 방문자
202303,금정구,14381,외국인 방문자
202303,강서구,135031,외국인 방문자
202303,연제구,11027,외국인 방문자
202303,수영구,27386,외국인 방문자
202303,사상구,17493,외국인 방문자
202303,기장군,48588,외국인 방문자
202302,중구,50709,외국인 방문자
202302,서구,37866,외국인 방문자
202302,동구,35401,외국인 방문자
202302,영도구,50214,외국인 방문자
202302,부산진구,49318,외국인 방문자
202302,동래구,6128,외국인 방문자
202302,남구,54040,외국인 방문자
202302,북구,5734,외국인 방문자
202302,해운대구,55482,외국인 방문자
202302,사하구,37558,외국인 방문자
202302,금정구,11477,외국인 방문자
202302,강서구,132639,외국인 방문자
202302,연제구,10594,외국인 방문자
202302,수영구,17276,외국인 방문자
202302,사상구,12544,외국인 방문자
202302,기장군,50147,외국인 방문자
202301,중구,50397,외국인 방문자
202301,서구,33408,외국인 방문자
202301,동구,37029,외국인 방문자
202301,영도구,56970,외국인 방문자
202301,부산진구,50664,외국인 방문자
202301,동래구,7455,외국인 방문자
202301,남구,46794,외국인 방문자
202301,북구,5926,외국인 방문자
202301,해운대구,53176,외국인 방문자
202301,사하구,36967,외국인 방문자
202301,금정구,11984,외국인 방문자
202301,강서구,116492,외국인 방문자
