기준연월,기초지자체,방문자 수,구분
202508,연제구,2802219,외지인 방문자
202508,영도구,1629296,외지인 방문자
202508,중구,3451035,외지인 방문자
202508,해운대구,6999748,외지인 방문자
202509,강서구,3793822,외지인 방문자
202509,금정구,2795674,외지인 방문자
202509,기장군,3307924,외지인 방문자
202509,남구,2945134,외지인 방문자
202509,동구,3157200,외지인 방문자
202509,동래구,3429528,외지인 방문자
202509,부산진구,6457157,외지인 방문자
202509,북구,2061836,외지인 방문자
202509,사상구,2734246,외지인 방문자
202509,사하구,2181532,외지인 방문자
202509,서구,1894921,외지인 방문자
202509,수영구,3434862,외지인 방문자
202509,연제구,2675340,외지인 방문자
202509,영도구,1600109,외지인 방문자
202509,중구,3420935,외지인 방문자
202509,해운대구,5872790,외지인 방문자
202510,강서구,4113410,외지인 방문자
202510,금정구,2792758,외지인 방문자
202510,기장군,4171538,외지인 방문자
202510,남구,2854103,외지인 방문자
202510,동구,3311262,외지인 방문자
202510,동래구,3766606,외지인 방문자
202510,부산진구,6751608,외지인 방문자
202510,북구,2424502,외지인 방문자
202510,사상구,2661830,외지인 방문자
202510,사하구,2429662,외지인 방문자
202510,서구,1960196,외지인 방문자
202510,수영구,3847588,외지인 방문자
202510,연제구,2927116,외지인 방문자
202510,영도구,1819601,외지인 방문자
202510,중구,3709783,외지인 방문자
202510,해운대구,6571520,외지인 방문자
202511,강서구,3925474,외지인 방문자
202511,금정구,2673556,외지인 방문자
202511,기장군,3544958,외지인 방문자
202511,남구,2780404,외지인 방문자
202511,동구,3318290,외지인 방문자
202511,동래구,3479161,외지인 방문자
202511,부산진구,6482172,외지인 방문자
202511,북구,2119299,외지인 방문자
202511,사상구,2545746,외지인 방문자
202511,사하구,2114668,외지인 방문자
202511,서구,1812962,외지인 방문자
202511,수영구,3555604,외지인 방문자
202511,연제구,2766988,외지인 방문자
202511,영도구,1570219,외지인 방문자
202511,중구,3485584,외지인 방문자
202511,해운대구,6100136,외지인 방문자
202512,강서구,3811388,외지인 방문자
202512,금정구,2523045,외지인 방문자
202512,기장군,3411100,외지인 방문자
202512,남구,2838112,외지인 방문자
202512,동구,3263110,외지인 방문자
202512,동래구,3696942,외지인 방문자
202512,부산진구,6890544,외지인 방문자
202512,북구,2112506,외지인 방문자
202512,사상구,2481608,외지인 방문자
202512,사하구,2069196,외지인 방문자
202512,서구,1787986,외지인 방문자
202512,수영구,3566941,외지인 방문자
202512,연제구,2804970,외지인 방문자
202512,영도구,1561122,외지인 방문자
202512,중구,3661060,외지인 방문자
202512,해운대구,6432948,외지인 방문자
202601,강서구,3826466,외지인 방문자
202601,금정구,2367796,외지인 방문자
202601,기장군,3370468,외지인 방문자
202601,남구,2666688,외지인 방문자
202601,동구,3170234,외지인 방문자
202601,동래구,3512554,외지인 방문자
202601,부산진구,6543162,외지인 방문자
202601,북구,2029258,외지인 방문자
202601,사상구,2316629,외지인 방문자
202601,사하구,2001038,외지인 방문자
202601,서구,1707982,외지인 방문자
202601,수영구,3484590,외지인 방문자
202601,연제구,2704958,외지인 방문자
202601,영도구,1507600,외지인 방문자
202601,중구,3316478,외지인 방문자
202601,해운대구,6037584,외지인 방문자
202602,강서구,3608164,외지인 방문자
202602,금정구,2499945,외지인 방문자
202602,기장군,3503468,외지인 방문자
202602,남구,2596058,외지인 방문자
202602,동구,3006196,외지인 방문자
202602,동래구,3405350,외지인 방문자
202602,부산진구,6224575,외지인 방문자
202602,북구,2113699,외지인 방문자
202602,사상구,2312275,외지인 방문자
202602,사하구,2062616,외지인 방문자
202602,서구,1728668,외지인 방문자
202602,수영구,3376362,외지인 방문자
202602,연제구,2585513,외지인 방문자
202602,영도구,1556366,외지인 방문자
202602,중구,3206242,외지인 방문자
202602,해운대구,5876416,외지인 방문자
202603,강서구,3944602,외지인 방문자
202603,금정구,3078918,외지인 방문자
202603,기장군,3419241,외지인 방문자
202603,남구,3241220,외지인 방문자
202603,동구,3201958,외지인 방문자
202603,동래구,3611181,외지인 방문자
202603,부산진구,6622592,외지인 방문자
202603,북구,2161366,외지인 방문자
202603,사상구,2792842,외지인 방문자
202603,사하구,2290390,외지인 방문자
202603,서구,1925924,외지인 방문자
202603,수영구,3459785,외지인 방문자
202603,연제구,2832193,외지인 방문자
202603,영도구,1683815,외지인 방문자
202603,중구,3425422,외지인 방문자
202603,해운대구,5866066,외지인 방문자
202604,강서구,3721028,외지인 방문자
202604,금정구,2337528,외지인 방문자
202604,기장군,3262760,외지인 방문자
202604,남구,2505836,외지인 방문자
202604,동구,2991376,외지인 방문자
202604,동래구,3482220,외지인 방문자
202604,부산진구,5772316,외지인 방문자
202604,북구,2004818,외지인 방문자
202604,사상구,2366206,외지인 방문자
202604,사하구,1882206,외지인 방문자
202604,서구,1690294,외지인 방문자
202604,수영구,3177489,외지인 방문자
202604,연제구,2581285,외지인 방문자
202604,영도구,1401082,외지인 방문자
202604,중구,3176096,외지인 방문자
202604,해운대구,5290296,외지인 방문자
202605,강서구,3825542,외지인 방문자
202605,금정구,2907219,외지인 방문자
202605,기장군,4098104,외지인 방문자
202605,남구,2813044,외지인 방문자
202605,동구,3416490,외지인 방문자
202605,동래구,3821114,외지인 방문자
202605,부산진구,6631888,외지인 방문자
202605,북구,2301537,외지인 방문자
202605,사상구,2541508,외지인 방문자
202605,사하구,2246972,외지인 방문자
202605,서구,1883420,외지인 방문자
