기준연월,기초지자체,방문자 수,구분
202604,남구,4004108,현지인 방문자
202605,남구,4441080,현지인 방문자
202606,남구,4425071,현지인 방문자
202607,남구,4296670,현지인 방문자
202302,남구,3995814,현지인 방문자
202301,남구,4333217,현지인 방문자
202303,남구,4502900,현지인 방문자
202304,남구,4264354,현지인 방문자
202305,남구,4745132,현지인 방문자
202306,남구,4137777,현지인 방문자
202307,남구,4069152,현지인 방문자
202308,남구,4024038,현지인 방문자
202309,남구,3986052,현지인 방문자
202310,남구,4361158,현지인 방문자
202311,남구,4357878,현지인 방문자
202312,남구,4137476,현지인 방문자
202401,남구,4088147,현지인 방문자
202402,남구,3756529,현지인 방문자
202403,남구,4166026,현지인 방문자
202404,남구,3990234,현지인 방문자
202405,남구,4359422,현지인 방문자
202406,남구,4188496,현지인 방문자
202407,남구,4189112,현지인 방문자
202408,남구,4050868,현지인 방문자
202409,남구,3995285,현지인 방문자
202410,남구,4186567,현지인 방문자
202411,남구,4213506,현지인 방문자
202412,남구,4374685,현지인 방문자
202501,남구,3995842,현지인 방문자
202502,남구,3715768,현지인 방문자
202503,남구,4056696,현지인 방문자
202504,남구,4010884,현지인 방문자
202505,남구,4387152,현지인 방문자
202506,남구,4293328,현지인 방문자
202507,남구,4330879,현지인 방문자
202508,남구,4258485,현지인 방문자
202509,남구,4318990,현지인 방문자
202510,남구,4331201,현지인 방문자
202511,동구,1527046,현지인 방문자
202512,동구,1509907,현지인 방문자
202601,동구,1504055,현지인 방문자
202602,동구,1335428,현지인 방문자
202603,동구,1567181,현지인 방문자
202604,동구,1471295,현지인 방문자
202605,동구,1559838,현지인 방문자
202606,동구,1586582,현지인 방문자
202607,동구,1555746,현지인 방문자
202302,동구,1309416,현지인 방문자
202301,동구,1401824,현지인 방문자
202303,동구,1495708,현지인 방문자
202304,동구,1398880,현지인 방문자
202305,동구,1525867,현지인 방문자
202306,동구,1387407,현지인 방문자
202307,동구,1414644,현지인 방문자
202308,동구,1400476,현지인 방문자
202309,동구,1334554,현지인 방문자
202310,동구,1473650,현지인 방문자
202311,동구,1421094,현지인 방문자
202312,동구,1346905,현지인 방문자
202401,동구,1363180,현지인 방문자
202402,동구,1227380,현지인 방문자
202403,동구,1398464,현지인 방문자
202404,동구,1340622,현지인 방문자
202405,동구,1447537,현지인 방문자
202406,동구,1364486,현지인 방문자
202407,동구,1428102,현지인 방문자
202408,동구,1363890,현지인 방문자
202409,동구,1358102,현지인 방문자
202410,동구,1495546,현지인 방문자
202411,동구,1434934,현지인 방문자
202412,동구,1512494,현지인 방문자
202501,동구,1432662,현지인 방문자
202502,동구,1346328,현지인 방문자
202503,동구,1439634,현지인 방문자
202504,동구,1454218,현지인 방문자
202505,동구,1521240,현지인 방문자
202506,동구,1495162,현지인 방문자
202507,동구,1562358,현지인 방문자
202508,동구,1487178,현지인 방문자
202509,동구,1540224,현지인 방문자
202510,동구,1502364,현지인 방문자
202511,동래구,4550301,현지인 방문자
202512,동래구,4715781,현지인 방문자
202601,동래구,4569450,현지인 방문자
202602,동래구,4054264,현지인 방문자
202603,동래구,4583159,현지인 방문자
202604,동래구,4380866,현지인 방문자
202605,동래구,4495928,현지인 방문자
202606,동래구,4478618,현지인 방문자
202607,동래구,4440954,현지인 방문자
202302,동래구,3867070,현지인 방문자
202301,동래구,4236452,현지인 방문자
202303,동래구,4380008,현지인 방문자
202304,동래구,4141658,현지인 방문자
202305,동래구,4447922,현지인 방문자
202306,동래구,3952627,현지인 방문자
202307,동래구,4007899,현지인 방문자
202308,동래구,3940083,현지인 방문자
202309,동래구,3907792,현지인 방문자
