구군,연월,주요유료관광지입장객수,집계관광지수
금정구,202412,19296.0,1.0
금정구,202501,0.0,1.0
금정구,202502,0.0,1.0
금정구,202503,0.0,1.0
금정구,202504,18316.0,1.0
금정구,202505,21424.0,1.0
금정구,202506,20172.0,1.0
금정구,202507,19430.0,1.0
금정구,202508,22421.0,1.0
금정구,202509,16904.0,1.0
금정구,202510,20196.0,1.0
금정구,202511,18544.0,1.0
금정구,202512,17862.0,1.0
금정구,202601,0.0,1.0
금정구,202602,0.0,1.0
금정구,202603,0.0,1.0
금정구,202604,0.0,1.0
금정구,202605,0.0,1.0
금정구,202606,0.0,1.0
강서구,202301,38203.0,1.0
강서구,202302,53639.0,1.0
강서구,202303,58807.0,1.0
강서구,202304,69208.0,1.0
강서구,202305,58320.0,1.0
강서구,202306,56613.0,1.0
강서구,202307,68590.0,1.0
강서구,202308,54745.0,1.0
강서구,202309,54723.0,1.0
강서구,202310,59192.0,1.0
강서구,202311,52440.0,1.0
강서구,202312,72000.0,1.0
강서구,202401,56604.0,1.0
강서구,202402,43411.0,1.0
강서구,202403,75477.0,1.0
강서구,202404,58469.0,1.0
강서구,202405,67205.0,1.0
강서구,202406,60723.0,1.0
강서구,202407,51219.0,1.0
강서구,202408,58896.0,1.0
강서구,202409,42506.0,1.0
강서구,202410,49651.0,1.0
강서구,202411,62017.0,1.0
강서구,202412,59860.0,1.0
강서구,202501,47255.0,1.0
강서구,202502,37069.0,1.0
강서구,202503,57717.0,1.0
강서구,202504,47219.0,1.0
강서구,202505,66315.0,1.0
강서구,202506,54109.0,1.0
강서구,202507,48062.0,1.0
강서구,202508,62385.0,1.0
강서구,202509,49389.0,1.0
강서구,202510,37883.0,1.0
강서구,202511,54909.0,1.0
강서구,202512,44029.0,1.0
강서구,202601,48203.0,1.0
강서구,202602,33233.0,1.0
강서구,202603,53769.0,1.0
강서구,202604,0.0,1.0
강서구,202605,0.0,1.0
강서구,202606,0.0,1.0
연제구,202301,,
연제구,202302,,
연제구,202303,,
연제구,202304,,
연제구,202305,,
연제구,202306,,
연제구,202307,,
연제구,202308,,
연제구,202309,,
연제구,202310,,
연제구,202311,,
연제구,202312,,
연제구,202401,,
연제구,202402,,
연제구,202403,,
연제구,202404,,
연제구,202405,,
연제구,202406,,
연제구,202407,,
연제구,202408,,
연제구,202409,,
연제구,202410,,
연제구,202411,,
연제구,202412,,
연제구,202501,,
연제구,202502,,
연제구,202503,,
연제구,202504,,
연제구,202505,,
연제구,202506,,
연제구,202507,,
연제구,202508,,
연제구,202509,,
연제구,202510,,
연제구,202511,,
연제구,202512,,
연제구,202601,,
연제구,202602,,
연제구,202603,,
연제구,202604,,
연제구,202605,,
연제구,202606,,
수영구,202301,,
수영구,202302,,
수영구,202303,,
수영구,202304,,
수영구,202305,,
수영구,202306,,
수영구,202307,,
수영구,202308,,
수영구,202309,,
수영구,202310,,
수영구,202311,,
수영구,202312,,
수영구,202401,,
수영구,202402,,
수영구,202403,,
수영구,202404,,
수영구,202405,,
수영구,202406,,
수영구,202407,,
수영구,202408,,
수영구,202409,,
수영구,202410,,
수영구,202411,,
수영구,202412,,
수영구,202501,,
수영구,202502,,
수영구,202503,,
수영구,202504,,
수영구,202505,,
수영구,202506,,
수영구,202507,,
수영구,202508,,
수영구,202509,,
수영구,202510,,
수영구,202511,,
수영구,202512,,
수영구,202601,,
수영구,202602,,
수영구,202603,,
수영구,202604,,
수영구,202605,,
수영구,202606,,
사상구,202301,,
사상구,202302,,
사상구,202303,,
사상구,202304,,
사상구,202305,,
사상구,202306,,
사상구,202307,,
사상구,202308,,
사상구,202309,,
사상구,202310,,
사상구,202311,,
사상구,202312,,
사상구,202401,,
사상구,202402,,
사상구,202403,,
사상구,202404,,
사상구,202405,,
사상구,202406,,
사상구,202407,,
사상구,202408,,
사상구,202409,,
사상구,202410,,
사상구,202411,,
사상구,202412,,
사상구,202501,,
사상구,202502,,
